measured,predicted
0.189174652,0.148264349
0.681274951,0.307873517
0.0221799165,0.0492849648
0.180513591,0.168732673
0.201371863,0.175225407
0.186305434,0.170496851
0.202152357,0.163938969
0.214893773,0.148643374
0.164923996,0.12323492
0.204681531,0.125131354
0.234453693,0.163268656
0.211072862,0.226837188
0.109765336,0.120405212
0.0905329809,0.119648904
0.0714240596,0.125922725
0.0673113391,0.100586839
0.0615726523,0.0685101748
0.0519145802,0.0558689535
0.0455229171,0.0748665929
0.0257471539,0.0983993113
0.00444695586,0.0897012055
0.0517934635,0.0520829409
0.100056209,0.0763544962
0.117489457,0.105243973
0.131137148,0.129649803
0.134851024,0.148334086
0.169243917,0.161071926
0.166202351,0.168196529
0.184431046,0.170939848
0.197477952,0.166595608
0.531850576,0.288156211
0.527140617,0.251428783
0.582174182,0.236618459
0.597646415,0.253489345
0.464694411,0.223988727
0.436980158,0.17373389
0.255987018,0.130870938
0.222102597,0.0985183641
0.0495937392,0.0759135783
0.586830795,0.323560894
0.502601385,0.310648263
0.441349059,0.274684608
0.330387831,0.228197664
0.354903132,0.185653567
0.216416046,0.15898405
0.151506692,0.138298035
0.145020649,0.108261056
0.0860072896,0.0754318014
0.0869329795,0.110942207
0.115618795,0.183238894
0.27521503,0.288367152
0.326024711,0.422659606
0.743070185,0.509894013
0.689382732,0.476696968
0.633211553,0.328103095
0.0257787481,0.164643377
0.0105342939,0.079987444
0.101963893,0.131399959
0.115779385,0.12997891
0.102299988,0.123304717
0.0923729166,0.113551646
0.0882388428,0.0921888575
0.0842346773,0.0879743621
0.119335003,0.127323329
0.123879701,0.199758619
0.0805376694,0.115519501
0.102254838,0.101757593
0.0745343566,0.0865658745
0.0739437267,0.0651239306
0.0655810013,0.0519926548
0.0883247256,0.0858851075
0.119969465,0.161464125
0.0754232779,0.119602188
0.0709811002,0.105638534
0.0656835735,0.0871550143
0.0617265739,0.0687451959
0.0639296547,0.0901952386
0.116545871,0.157262176
0.0678835958,0.0976169184
0.078908287,0.0928481296
0.0597450957,0.0883991346
0.0698972046,0.111567289
0.110226035,0.177700207
0.0697722211,0.0706978962
0.0633865967,0.076546371
0.0653959662,0.0974633321
0.0952545479,0.153721511
0.0724118948,0.0696179718
0.0708912164,0.0856205299
0.0860839859,0.120354183
0.0664765015,0.0875475258
0.10608121,0.0986671671
0.0638643503,0.0892990902
0.0809064806,0.0749297068
0.121145763,0.102753922
0.121559463,0.141843975
0.144566208,0.175394699
0.151321337,0.197516546
0.143101186,0.207863525
0.17749095,0.207528055
0.18967782,0.195689976
0.109130137,0.103282757
0.142771423,0.128509641
0.368146449,0.17096366
0.354628384,0.208588585
0.327280194,0.228481621
0.168417275,0.228787929
0.167858377,0.210796237
0.100755468,0.127146065
0.126071751,0.143245816
0.128540799,0.178992197
0.152030364,0.21270445
0.158939242,0.224582672
0.179298446,0.209107757
0.140372261,0.142036647
0.230800927,0.147250354
0.182442293,0.170078784
0.219203129,0.192792699
0.185681626,0.19316411
0.144657537,0.164820924
0.145483077,0.159108415
0.158346832,0.162972987
0.180920273,0.16387248
0.182817563,0.200180292
0.185141712,0.177324548
0.205970109,0.152350157
0.237598881,0.232040346
0.212211221,0.182449043
0.250403225,0.243375137
0.21851629,0.137735263
0.239941135,0.214228481
0.345865011,0.328907162
0.456697911,0.447243571
0.564118564,0.468081057
0.184851229,0.345000744
0.0602238439,0.168981776
0.0464715585,0.0770829692
0.188072383,0.143850967
0.243427873,0.225409523
0.345906258,0.345637619
0.454378277,0.42557025
0.563346744,0.361199319
0.264662296,0.194175884
0.0765965432,0.096155107
0.230852112,0.128704414
0.224388212,0.229019538
0.334962159,0.347019494
0.346114069,0.357818663
0.0584442765,0.227074847
0.0582790114,0.124105826
0.279055536,0.131771937
0.246743232,0.248209953
0.324943393,0.320174098
0.112504534,0.248419479
0.0594156086,0.151316553
0.199084193,0.15941821
0.244192541,0.252863169
0.320617348,0.243900687
0.106388792,0.172902212
0.112910718,0.179604128
0.23814632,0.211663634
0.108000048,0.182932213
0.155762851,0.163793534
0.0749404132,0.176783592
0.164465189,0.15423125
0.486418039,0.311918259
0.374902338,0.272294462
0.523999691,0.251503378
0.447257042,0.262866497
0.40992552,0.232273996
0.309183002,0.186403662
0.20092392,0.14925155
0.121615194,0.124150887
0.30283314,0.305532336
0.557951987,0.277580768
0.320801914,0.275959998
0.439397544,0.297938287
0.343646616,0.270635277
0.266358912,0.229275823
0.188171417,0.198900878
0.249865681,0.264029294
0.331487596,0.255372286
0.384021938,0.298797429
0.364412338,0.352735341
0.319162607,0.342948377
0.28153801,0.312436342
0.268048197,0.20571956
0.299123138,0.219183475
0.437062502,0.316911161
0.396774471,0.414268553
0.387484282,0.435801178
0.158414617,0.158787757
0.112271957,0.195368811
0.449561357,0.334620714
0.473045051,0.462905198
0.0988670513,0.136061311
0.0786669478,0.186673135
0.564932227,0.339771748
0.128055796,0.119441889
0.0591357984,0.176210895
0.0447854027,0.0985019878
0.0695419312,0.0905920267
0.0630459711,0.0961681604
0.0538641959,0.0993081927
0.105352469,0.118841514
0.0584254377,0.0934778303
0.0908108428,0.112421989
0.0722087175,0.0954675451
