measured,predicted
0.109999999,-0.160404205
0.270000011,0.286259651
0.469999999,0.731973648
0.779999971,1.18278885
1.17999995,1.65259647
1.82000005,2.172966
2.6099999,2.81474733
3.75999999,3.73475695
4.98999977,5.27013874
7.15999985,8.10131264
11.9300003,13.4151478
20.1100006,22.6470451
32.75,36.0120926
49.4900017,50.7294655
0.0399999991,-0.666051865
0.170000002,-0.217166901
0.370000005,0.230999947
0.660000026,0.68446064
1.05999994,1.15715408
1.59000003,1.68066502
2.32999992,2.32592964
3.28999996,3.24987698
4.61000013,4.78995562
7.11000013,7.62710047
11.9899998,12.9487734
21.0900002,22.1900864
35.0099983,35.563385
51.7999992,50.2843857
0.0900000036,-0.0160570145
0.289999992,0.427049637
0.560000002,0.868702888
0.860000014,1.31412697
1.30999994,1.77539158
1.99000001,2.27995396
2.94000006,2.88961935
4.21000004,3.74151611
5.53999996,5.13246632
8.25,7.67044067
13.0799999,12.4530602
21.3999996,20.93606
33.1399994,33.7006721
50.1399994,48.4920921
0.200000003,-0.297709465
0.349999994,0.14118576
0.649999976,0.579031944
0.930000007,1.02164841
1.37,1.48244381
1.97000003,1.99181557
2.82999992,2.61803484
3.99000001,3.51225281
5.19000006,5.00008202
8.02999973,7.74143028
12.8599997,12.898941
21.5100002,21.9176178
33.9700012,35.1200638
50.3600006,49.8663673
0.200000003,-0.458333015
0.349999994,-0.0165834427
0.649999976,0.425297737
0.930000007,0.873530388
1.37,1.34244347
1.97000003,1.86458683
2.82999992,2.51302719
3.99000001,3.4493618
5.19000006,5.02053642
8.02999973,7.9242177
12.8599997,13.3669491
21.5100002,22.7737198
33.9700012,36.2670746
50.3600006,50.952755
0.119999997,-0.736395836
0.25999999,-0.284534454
0.430000007,0.167584419
0.689999998,0.626702309
1.09000003,1.10830021
1.66999996,1.64754868
2.46000004,2.32329464
3.43000007,3.30958939
4.61999989,4.97853756
6.86000013,8.07135868
11.5600004,13.8415661
20.6299992,23.6785908
34.5,37.4646759
54.2299995,52.0411263
0.280000001,0.0998086929
0.439999998,0.539147377
0.699999988,0.976904869
1.07000005,1.41858864
1.57000005,1.87687492
2.23000002,2.38055992
