algorithm,problem,seed,best_f,feasible,max_violation,evals,walltime_s,x_0,x_1,x_2,x_3,notes
idc_default,photo_wf3,0,0.0557215512,True,0,40000,0.0577905,0.40915978,2.07491794e-07,0.590839982,5.47754446e-08,
idc_default,photo_wf3,1,0.0557214767,True,0,40000,0.071924,0.409062773,4.90699563e-07,0.59093678,2.20408553e-10,
idc_default,photo_wf3,2,0.0557215363,True,0,40000,0.0786971,0.409133464,2.55555847e-07,0.590866268,6.4764059e-08,
idc_default,photo_wf3,3,0.0557214618,True,0,40000,0.0713329,0.409183592,4.73572292e-08,0.590816319,1.32837048e-08,
idc_default,photo_wf3,4,0.0557215959,True,0,40000,0.0704221,0.409146935,3.17070032e-07,0.590852618,1.79280477e-07,
idc_default,photo_wf3,5,0.0557215065,True,0,40000,0.0681278,0.409127802,2.86766095e-07,0.590871811,6.68040201e-08,
idc_default,photo_wf3,6,0.0557215214,True,0,40000,0.0744437,0.409201413,1.84901509e-07,0.590798438,3.06731494e-08,
idc_default,photo_wf3,7,0.055721581,True,0,40000,0.0702935,0.409345657,9.70056362e-07,0.590653419,1.01607602e-08,
idc_default,photo_wf3,8,0.0557215214,True,0,40000,0.0674023,0.409251899,3.21517518e-07,0.590747774,1.85034459e-08,
idc_default,photo_wf3,9,0.0557215512,True,0,40000,0.0682552,0.409045517,2.3945114e-07,0.590954185,1.1596731e-07,
idc_default,photo_wf3,10,0.0557215065,True,0,40000,0.0636004,0.409217298,8.23251867e-08,0.590782583,4.62725858e-08,
idc_default,photo_wf3,11,0.0557215214,True,0,40000,0.0766497,0.409169674,1.00737083e-07,0.590830088,1.49098454e-07,
idc_default,photo_wf3,12,0.0557215214,True,0,40000,0.0722416,0.409150034,5.76451782e-07,0.5908494,1.67329883e-08,
idc_default,photo_wf3,13,0.0557216555,True,0,40000,0.0653224,0.408953398,5.77589887e-08,0.591046274,2.16231058e-07,
idc_default,photo_wf3,14,0.0557216257,True,0,40000,0.0619411,0.409139872,6.42309487e-07,0.590859354,1.76288424e-07,
idc_default,photo_wf3,15,0.0557215214,True,0,40000,0.0552328,0.409089178,3.23447182e-07,0.590910494,1.52950399e-08,
idc_default,photo_wf3,16,0.0557215065,True,0,40000,0.0602181,0.40912348,6.10068071e-07,0.590875924,2.46720102e-08,
idc_default,photo_wf3,17,0.0557217598,True,0,40000,0.0559518,0.409506679,5.06127371e-08,0.590493143,1.23898616e-07,
idc_default,photo_wf3,18,0.0557215512,True,0,40000,0.0605491,0.409085512,1.73756661e-07,0.59091419,1.27067494e-07,
idc_default,photo_wf3,19,0.0557215065,True,0,40000,0.0530409,0.409233987,1.06917277e-07,0.590765774,8.04528497e-08,
idc_default,photo_wf3,20,0.0557215661,True,0,40000,0.0567262,0.409003884,5.36637742e-07,0.59099561,1.48631845e-08,
