algorithm,seed,x_0,x_1,x_2,x_3,x_4,x_5
idc_mo_starter,0,-3.94626021,0.530688941,4.35257912,5.33474541,3.52960014,0.287499994
idc_mo_starter,0,-4.07415342,0.531511486,4.35433006,5.3091054,3.49409056,0.287499994
idc_mo_starter,0,-4.47708988,0.534174144,4.38121462,4.9591651,2.73000979,0.287499994
idc_mo_starter,0,-4.23371077,0.530376613,4.34227657,5.23417091,3.30999565,0.287499994
idc_mo_starter,0,-4.53522682,0.530339003,4.34169912,5.32933569,3.19724393,0.287499994
idc_mo_starter,0,-4.58179903,0.533740163,4.34821653,5.34550476,3.50539517,0.287499994
idc_mo_starter,0,-4.15573454,0.530467868,4.35752249,5.30217123,3.4628005,0.287499994
idc_mo_starter,0,-4.30413675,0.532227516,4.35277367,5.29622269,3.54954839,0.287499994
idc_mo_starter,0,-4.91569948,0.530060828,4.34431314,5.21488094,3.40614033,0.287499994
idc_mo_starter,0,-4.99594021,0.536230087,4.36175346,5.33586931,3.12414479,0.287499994
idc_mo_starter,0,-4.49081659,0.533101082,4.34330654,5.27615738,3.3283658,0.287499994
idc_mo_starter,0,-4.29518986,0.534888268,4.5005331,4.66071987,2.73000407,0.287499994
idc_mo_starter,0,-4.67279196,0.531146824,4.3404603,5.16944027,2.78810549,0.287499994
idc_mo_starter,0,-4.94487333,0.530005991,4.34930658,5.22973394,3.63298035,0.287499994
idc_mo_starter,0,-4.99085665,0.530232489,4.37112093,5.34367037,3.42221498,0.287499994
idc_mo_starter,0,-4.51759577,0.532281816,4.34367561,5.25354671,3.5427165,0.287499994
idc_mo_starter,0,-4.62663841,0.538474858,4.34597397,5.27842808,2.7434597,0.287499994
idc_mo_starter,0,-4.75475025,0.531764507,4.35946751,5.28658676,2.8406527,0.287499994
idc_mo_starter,0,-4.36712074,0.536951363,4.34296322,5.25954533,2.73072648,0.287499994
idc_mo_starter,0,-4.47795534,0.531024218,4.35855627,5.33678532,2.79435062,0.287499994
idc_mo_starter,0,-4.88033438,0.533137679,4.34574986,5.19509506,2.75631142,0.287499994
idc_mo_starter,0,-4.18699121,0.530311465,4.34445906,5.27539349,3.32940221,0.287499994
idc_mo_starter,0,-4.85476732,0.533380449,4.35504293,5.29202557,3.32790399,0.287499994
idc_mo_starter,0,-4.64345932,0.530397952,4.34869289,5.34640694,3.25781536,0.287499994
idc_mo_starter,0,-4.97106266,0.530973554,4.3405571,5.29551649,3.33377242,0.287499994
idc_mo_starter,0,-4.89347315,0.531022608,4.36742163,5.3180728,2.96592355,0.287499994
idc_mo_starter,0,-4.58260536,0.530614734,4.36172915,5.34196091,3.28563213,0.287499994
idc_mo_starter,0,-4.71639776,0.530149639,4.35444021,5.18824387,3.32653761,0.287499994
idc_mo_starter,0,-4.05607128,0.530283749,4.34240294,5.32816887,2.75850439,0.287499994
idc_mo_starter,0,-4.64941931,0.532778144,4.34373665,5.30931473,3.3969202,0.287499994
idc_mo_starter,0,-4.96272421,0.532000363,4.35205507,5.28219175,3.40198469,0.287499994
idc_mo_starter,0,-4.91960096,0.533697665,4.3579483,5.3312068,3.31460381,0.287499994
idc_mo_starter,0,-4.73476553,0.532879591,4.34785032,5.26917505,2.81030679,0.287499994
