algorithm,problem,seed,n_pareto,hv,igd,feasible_pct,evals,walltime_s,notes
nsga2,yacht_mo,42,100,7.900411078386957,nan,100.0,40000,4.910257299998193,
nsga2,yacht_mo,43,100,7.904645245479457,nan,100.0,40000,5.674012899995432,
nsga2,yacht_mo,44,100,7.900311528659376,nan,100.0,40000,5.4594729999953415,
nsga2,yacht_mo,45,100,7.898183041885219,nan,100.0,40000,4.891116600003443,
nsga2,yacht_mo,46,100,7.90141882363742,nan,100.0,40000,4.656016099994304,
nsga2,yacht_mo,47,100,7.90262575701593,nan,100.0,40000,5.891831600005389,
nsga2,yacht_mo,48,100,7.903445040195353,nan,100.0,40000,4.9460447000019485,
nsga2,yacht_mo,49,100,7.9030802253572645,nan,100.0,40000,4.818238499996369,
nsga2,yacht_mo,50,100,7.903065168932906,nan,100.0,40000,5.6577381000097375,
nsga2,yacht_mo,51,100,7.901466311347358,nan,100.0,40000,5.403507299997727,
nsga2,yacht_mo,52,100,7.9014888099454454,nan,100.0,40000,5.45422790000157,
nsga3,yacht_mo,42,11,7.5567707586499635,nan,100.0,40000,5.857296700007282,
nsga3,yacht_mo,43,11,7.5575197238402865,nan,100.0,40000,6.190296100001433,
nsga3,yacht_mo,44,11,7.5511335964832655,nan,100.0,40000,6.429574200010393,
nsga3,yacht_mo,45,11,7.548937666817539,nan,100.0,40000,6.038800499998615,
nsga3,yacht_mo,46,11,7.9768401323321845,nan,100.0,40000,6.29698769999959,
nsga3,yacht_mo,47,11,7.55088619033994,nan,100.0,40000,5.888249499999802,
nsga3,yacht_mo,48,11,7.54884714150191,nan,100.0,40000,5.992048000000068,
nsga3,yacht_mo,49,11,7.568728354296193,nan,100.0,40000,6.50345489999745,
nsga3,yacht_mo,50,11,7.549497584469911,nan,100.0,40000,6.207116199992015,
nsga3,yacht_mo,51,11,7.5488197518709725,nan,100.0,40000,6.363039800009574,
nsga3,yacht_mo,52,11,7.548882057052377,nan,100.0,40000,6.078789200008032,
moead,yacht_mo,42,11,4.10351548331379,nan,100.0,40007,44.906374100013636,
moead,yacht_mo,43,11,3.8389227740065883,nan,100.0,40007,45.51936510000087,
moead,yacht_mo,44,11,3.899711605133385,nan,100.0,40007,43.6471862999897,
moead,yacht_mo,45,11,4.072492451058366,nan,100.0,40007,44.34099710000737,
moead,yacht_mo,46,11,3.8391663175014914,nan,100.0,40007,44.10120309999911,
moead,yacht_mo,47,11,3.9395580289304633,nan,100.0,40007,44.91550129999814,
moead,yacht_mo,48,11,3.83888917922582,nan,100.0,40007,43.57119750000129,
moead,yacht_mo,49,11,3.9878782889626323,nan,100.0,40007,44.96589110000059,
moead,yacht_mo,50,11,3.8390009212286955,nan,100.0,40007,46.396950900001684,
moead,yacht_mo,51,11,3.8450513752365247,nan,100.0,40007,45.526049199994304,
moead,yacht_mo,52,11,4.006746107479541,nan,100.0,40007,46.83477989998937,
